gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
8,22 h,27.93479347,27.95148468,27.90787125,33.89744186,27.91026688,31.91495895,24.9227829,27.93698883,33.91669846,28.93454933,25.90067863,31.92209625,33.92245102,29.90848351,29.92627525,32.92493057,31.90867424,28.8785038,26.95333099,27.96207809,25.88274002,23.90949631,24.92652321,28.92723465,25.9396286,31.92715454,23.93895531,28.94976807,28.91802406,26.920084,25.93549347,27.93173027,25.92927933
9,22 h 20 min,28.95169067,27.94663429,27.91738892,35.92615128,26.89450073,31.92399979,24.93176079,27.93630219,32.92891312,28.9226532,25.91061974,31.92596245,32.93328476,30.90911674,29.92771149,30.89670181,31.89628983,28.8750248,27.94510841,26.94882202,25.88452339,23.8874321,24.92947197,28.92944145,25.93168068,30.91004372,24.93881035,31.9125309,27.89203262,25.91986656,24.93515968,26.93126488,26.92361832
10,22 h 40 min,28.93947029,28.95925713,27.90469933,33.9052124,27.9018383,32.93809128,25.93004036,28.94218445,33.92250061,28.91487122,26.91659737,31.92887115,33.91547775,30.90839767,29.93083954,34.91664505,31.91070938,28.88130569,27.94206047,27.94207001,27.84580231,24.89657784,25.93252373,28.91319656,25.93693542,30.91901588,24.93466377,29.94246864,28.92563057,27.93066406,25.93270493,27.92366791,26.92288017
11,23 h,26.92600822,27.94534874,26.90152931,27.92585564,26.90118408,31.93029213,24.93156815,27.93592262,33.92874527,28.91889191,25.9105072,30.93218803,33.93085861,29.91233826,29.93635368,34.91814804,30.91867065,28.87843132,26.93933678,26.93662071,25.92715645,23.89003754,24.93066597,27.91651917,24.93875313,28.93904686,24.95096207,27.92978477,28.90930748,26.93138123,25.93903542,26.92486,26.93157005
12,14 h 40 min,24.53951836,23.25463676,24.81407547,25.08328056,24.52994156,29.9236393,21.40215492,24.89342117,31.92613602,27.91463661,25.91244507,30.94768333,32.9292717,28.91426849,28.92734718,32.93894577,30.93814087,28.89998245,26.95781517,26.95211029,25.91882706,23.90458679,24.93733788,27.92217445,24.93692207,25.92830467,23.93680191,27.92173195,28.87825966,26.93056297,24.94010544,26.92880821,26.92570877
13,15 h,25.92713165,24.95233727,25.91689491,26.9383049,25.9066124,29.93589592,22.92600822,26.9407959,31.93084335,27.93705177,24.91947174,29.9408493,31.92921257,28.91506767,28.92840576,32.93055344,30.92195511,27.91609192,26.9611454,25.94579124,24.91913033,22.9081459,23.92885208,26.92118454,23.93245888,23.92283058,23.93450165,27.9324131,27.88338089,24.92597198,23.92849159,24.92584038,25.93622589
14,15 h 40 min,26.94011307,25.94601631,25.91526985,27.92847633,25.89465714,27.92968178,23.92891884,27.9407177,28.9402504,27.91860008,24.91008949,28.93737984,29.9464283,27.92128181,27.92637062,27.92965508,27.92992401,26.92171669,26.9647789,25.93170166,24.93238831,23.90572166,24.94081688,26.92608833,23.91318512,23.9254303,22.91801453,26.91833115,25.89003563,24.91537285,22.92229462,24.89352798,24.91714668
15,16 h,25.91097641,24.9492321,24.90818977,24.90292549,23.88176346,28.90390778,21.91836166,25.93102646,31.92295265,26.9072876,23.89767265,28.91191483,30.90945053,28.9049015,26.91373825,31.90323448,29.917799,26.90292358,24.93526649,24.92326736,22.91222954,21.88291168,22.92024994,26.89725494,22.91404724,22.91999817,22.92006111,26.91304779,25.89142227,23.92187691,22.91488838,23.90805626,25.93548203
16,16 h 20 min,27.93121147,25.93960571,26.92131233,27.93535233,27.8927021,31.92868042,24.91803932,28.9369545,34.93854904,29.91550446,25.91479301,31.93362999,33.93365097,30.94563484,30.92530823,33.91524887,31.92372513,29.90063858,26.92603874,26.93244362,26.89148521,24.89889336,24.92492104,28.92356682,24.93515587,26.92953491,23.93799591,28.9255352,28.92610359,26.92962265,25.92786598,26.92280006,26.93048859
17,16 h 40 min,27.91784477,26.9393692,27.90847015,28.92083931,26.88809204,31.91062737,25.94139099,28.92807579,33.90797043,29.91708946,26.90620804,30.90076447,33.921978,30.91629028,30.92269135,33.91618347,31.91226006,29.88310432,27.94111824,27.94171143,26.83769989,24.90856934,25.92996597,28.91370583,25.93460083,25.93279076,25.93682671,28.91974449,29.90625381,25.93610001,25.92757416,27.92417526,27.93302727
