gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
1,6h,28.95556068,25.94988823,28.96617317,26.92971039,26.91499901,30.93683434,23.91578293,26.92451668,31.90926552,27.94807625,25.98377228,29.96637535,31.98948669,29.97689819,27.91120911,32.91311264,30.91603088,28.95327568,26.93787766,26.95236778,34.9803772,23.89807892,23.8922348,27.91059303,23.93253899,33.91516113,23.94864273,28.967453,27.91641426,26.91650581,25.93081665,26.94355392,25.92198563
2,2 h 40 min,25.93004417,23.93384171,24.91599846,33.95823669,24.91860962,26.92649651,21.92063141,24.92808533,26.92615128,24.91944504,22.90784836,26.93877029,27.92922592,25.92825127,26.93226242,26.93004417,26.91795731,24.91815948,23.93136024,24.94586182,22.92545509,22.90520287,21.92618561,24.91739082,21.93037224,30.9431076,21.92490578,25.93766975,24.91096878,23.92599297,22.93381119,23.92477417,22.93903351
3,3 h,27.93643188,27.9481678,26.91640854,37.03794861,25.89887238,30.93235779,22.93723869,26.94616127,31.91534424,25.89910507,24.90702057,30.93745232,31.92551231,29.90975952,28.92812347,31.90941238,29.910923,27.87732887,25.9282589,25.93130112,24.89754677,23.90305328,22.92311096,26.92577362,23.95080948,30.92461967,23.9448452,27.9299984,26.91736412,24.92024612,24.92580605,25.91865349,24.91882515
4,3h 20 min,27.93094444,25.95656776,25.93609619,32.90501785,25.92277145,30.9333477,22.92829514,25.93391418,32.92650604,26.92766571,24.90762329,30.93585777,31.93644714,29.92625046,28.93614197,32.91513824,30.92059135,27.88722038,25.96749306,25.95240784,24.85482407,22.90032196,22.92931366,25.92957306,23.94155693,31.92944717,23.94109726,27.91897392,26.90928841,24.91967201,23.93256569,24.9257679,23.92564011
5,3 h 40 min,27.92880821,31.94839287,25.92132759,34.91378021,25.90690422,30.9399147,23.92400932,26.93927002,32.92158127,26.91012383,24.90180969,30.94387436,31.93196297,29.92414093,28.93657875,32.92837143,30.92808151,27.87904739,25.93672371,26.95651436,25.85317802,23.89656448,23.92380905,26.91659164,23.92627335,31.9401207,23.92909622,27.93341255,27.88827133,25.92421722,24.92750359,25.91984558,24.93444443
6,4 h,26.93726921,27.95040321,26.93712425,33.89715576,25.8996315,29.93886185,23.94235039,26.95257759,31.92571831,26.92267036,24.90130424,30.93553162,31.92390442,28.90727043,28.91816711,31.92790413,29.91517258,27.88305092,25.93729973,25.93572235,24.94182014,23.914814,23.92849731,26.91981316,23.93106842,31.93644714,23.93136215,26.9325676,27.88833046,25.92374992,24.92776299,25.91696167,24.92812157
7,4 h 20 min,26.94120026,24.93732452,25.91393852,36.91214371,24.8996582,28.92545319,22.93370628,25.93776321,30.929739,26.92928886,24.9108448,30.93886375,30.92764473,28.91059494,27.937603,30.9256115,29.92096901,26.9104557,25.94109917,24.93965149,24.91030121,21.90039253,23.94503593,25.91143799,23.93787956,30.93731117,22.93690872,26.91921616,26.92334175,25.92042351,23.9285202,24.92399216,23.92053413
8,22 h,27.93479347,27.95148468,27.90787125,33.89744186,27.91026688,31.91495895,24.9227829,27.93698883,33.91669846,28.93454933,25.90067863,31.92209625,33.92245102,29.90848351,29.92627525,32.92493057,31.90867424,28.8785038,26.95333099,27.96207809,25.88274002,23.90949631,24.92652321,28.92723465,25.9396286,31.92715454,23.93895531,28.94976807,28.91802406,26.920084,25.93549347,27.93173027,25.92927933
9,22 h 20 min,28.95169067,27.94663429,27.91738892,35.92615128,26.89450073,31.92399979,24.93176079,27.93630219,32.92891312,28.9226532,25.91061974,31.92596245,32.93328476,30.90911674,29.92771149,30.89670181,31.89628983,28.8750248,27.94510841,26.94882202,25.88452339,23.8874321,24.92947197,28.92944145,25.93168068,30.91004372,24.93881035,31.9125309,27.89203262,25.91986656,24.93515968,26.93126488,26.92361832
10,22 h 40 min,28.93947029,28.95925713,27.90469933,33.9052124,27.9018383,32.93809128,25.93004036,28.94218445,33.92250061,28.91487122,26.91659737,31.92887115,33.91547775,30.90839767,29.93083954,34.91664505,31.91070938,28.88130569,27.94206047,27.94207001,27.84580231,24.89657784,25.93252373,28.91319656,25.93693542,30.91901588,24.93466377,29.94246864,28.92563057,27.93066406,25.93270493,27.92366791,26.92288017
11,23 h,26.92600822,27.94534874,26.90152931,27.92585564,26.90118408,31.93029213,24.93156815,27.93592262,33.92874527,28.91889191,25.9105072,30.93218803,33.93085861,29.91233826,29.93635368,34.91814804,30.91867065,28.87843132,26.93933678,26.93662071,25.92715645,23.89003754,24.93066597,27.91651917,24.93875313,28.93904686,24.95096207,27.92978477,28.90930748,26.93138123,25.93903542,26.92486,26.93157005
12,14 h 40 min,24.53951836,23.25463676,24.81407547,25.08328056,24.52994156,29.9236393,21.40215492,24.89342117,31.92613602,27.91463661,25.91244507,30.94768333,32.9292717,28.91426849,28.92734718,32.93894577,30.93814087,28.89998245,26.95781517,26.95211029,25.91882706,23.90458679,24.93733788,27.92217445,24.93692207,25.92830467,23.93680191,27.92173195,28.87825966,26.93056297,24.94010544,26.92880821,26.92570877
13,15 h,25.92713165,24.95233727,25.91689491,26.9383049,25.9066124,29.93589592,22.92600822,26.9407959,31.93084335,27.93705177,24.91947174,29.9408493,31.92921257,28.91506767,28.92840576,32.93055344,30.92195511,27.91609192,26.9611454,25.94579124,24.91913033,22.9081459,23.92885208,26.92118454,23.93245888,23.92283058,23.93450165,27.9324131,27.88338089,24.92597198,23.92849159,24.92584038,25.93622589
14,15 h 40 min,26.94011307,25.94601631,25.91526985,27.92847633,25.89465714,27.92968178,23.92891884,27.9407177,28.9402504,27.91860008,24.91008949,28.93737984,29.9464283,27.92128181,27.92637062,27.92965508,27.92992401,26.92171669,26.9647789,25.93170166,24.93238831,23.90572166,24.94081688,26.92608833,23.91318512,23.9254303,22.91801453,26.91833115,25.89003563,24.91537285,22.92229462,24.89352798,24.91714668
15,16 h,25.91097641,24.9492321,24.90818977,24.90292549,23.88176346,28.90390778,21.91836166,25.93102646,31.92295265,26.9072876,23.89767265,28.91191483,30.90945053,28.9049015,26.91373825,31.90323448,29.917799,26.90292358,24.93526649,24.92326736,22.91222954,21.88291168,22.92024994,26.89725494,22.91404724,22.91999817,22.92006111,26.91304779,25.89142227,23.92187691,22.91488838,23.90805626,25.93548203
16,16 h 20 min,27.93121147,25.93960571,26.92131233,27.93535233,27.8927021,31.92868042,24.91803932,28.9369545,34.93854904,29.91550446,25.91479301,31.93362999,33.93365097,30.94563484,30.92530823,33.91524887,31.92372513,29.90063858,26.92603874,26.93244362,26.89148521,24.89889336,24.92492104,28.92356682,24.93515587,26.92953491,23.93799591,28.9255352,28.92610359,26.92962265,25.92786598,26.92280006,26.93048859
17,16 h 40 min,27.91784477,26.9393692,27.90847015,28.92083931,26.88809204,31.91062737,25.94139099,28.92807579,33.90797043,29.91708946,26.90620804,30.90076447,33.921978,30.91629028,30.92269135,33.91618347,31.91226006,29.88310432,27.94111824,27.94171143,26.83769989,24.90856934,25.92996597,28.91370583,25.93460083,25.93279076,25.93682671,28.91974449,29.90625381,25.93610001,25.92757416,27.92417526,27.93302727
18,17 h,27.92123795,27.95235634,27.91485023,28.92824173,26.88929939,31.92259216,24.92746544,28.93322945,33.91551208,29.90713882,25.91049957,31.91897011,33.93067551,30.9186306,31.93446541,33.92202759,32.93220901,29.88311958,28.94309616,27.95666885,26.85147858,24.91564369,25.93791389,28.92212868,25.93193245,25.93247223,25.93959618,29.93270683,28.92686462,24.93115234,25.93467331,27.92844963,27.94505692
19,17 h 20 min,26.92125702,25.9423542,26.91671181,27.93910789,26.90652275,30.93303108,23.92009163,27.94444084,33.93500519,29.9163475,25.91086388,31.93758774,33.92781448,30.92694283,29.92471504,33.9286499,24.93671608,28.91201591,27.93768883,26.94427872,25.87009239,23.90026665,24.93274689,27.91724396,24.93493652,24.92579079,24.933815,27.92484856,28.89361191,23.92604065,23.92185593,31.93217659,26.9402523
20,17 h 40 min,28.93344879,29.97848701,27.90838623,29.92813873,27.8928051,31.92071915,25.92919731,28.93688202,34.92538452,30.91986656,26.91418839,32.93921661,34.92980957,31.91426086,31.91798973,33.93862152,32.93556976,30.90579796,29.95930481,27.9314003,26.93143082,24.90856743,25.9326992,29.93226433,26.92534637,26.91618347,26.93148994,29.93134499,30.91215897,25.93510056,26.92398071,28.93791389,28.93789101
21,2 h 10 min,23.92138672,23.93446732,24.91867828,24.93631172,22.90658379,26.91743851,20.91695404,24.93517685,31.92152977,22.92179108,20.89319229,30.92984962,27.92854691,28.93117714,26.91923523,31.93722916,29.93183327,24.90421486,24.9528141,24.9351387,22.88764763,24.90891457,19.93565369,22.92326736,19.94060707,20.9157753,21.94036293,25.92871857,22.92405319,19.93527794,20.9251461,21.9319725,22.92478943
22,2 h 20 min,25.92879677,24.93614388,25.92830849,24.93741608,23.90762901,28.93481827,21.93549728,24.93497276,31.93896866,24.93354607,21.90679741,30.93478012,28.93399239,29.94033813,26.92685699,30.92931366,29.9256115,25.8940258,23.93374252,24.93572998,22.93816376,23.90040016,20.93143082,23.92003441,20.92349434,22.94307518,21.94104958,26.93082619,24.90694237,21.92921448,22.93743896,22.93212891,22.92964935
23,2 h 30 min,25.92267227,25.94392395,25.92061234,24.93778419,23.9142971,27.93481827,21.93218803,25.93598557,29.94041061,24.91691208,21.91441154,29.94332886,29.9437809,28.9289856,27.93877029,29.94753647,28.92363358,25.88980865,24.9401989,25.94474983,23.85318375,23.91378212,20.94089699,24.92584229,21.93798828,22.92158508,22.9320755,26.93769073,24.92753792,20.93766594,22.92163086,23.94096947,22.92579079
24,2 h 40 min,25.92695045,23.9378624,24.9222393,23.93854332,23.90555382,27.9335041,21.92862892,24.93603325,31.9247551,24.92724419,22.90402031,30.93277931,29.94452286,28.92447662,27.92989922,31.93383026,29.94138908,25.89284134,24.96193695,24.94826508,23.85593224,23.90349007,20.93107414,24.92578697,20.94265556,22.92817497,21.93370628,25.92336655,36.99129486,21.92796516,22.92455673,22.92433739,22.92286873
25,15 h 10 min,23.91693115,22.94761276,23.91801834,25.94322395,22.91546059,28.94379425,20.92881393,23.9291687,30.93171883,24.91703987,21.89859009,27.92960167,30.9318676,26.91923523,25.93280792,30.93544769,28.93534851,25.90862083,23.95300865,22.94361305,22.85791779,19.91151428,20.93432236,24.91802406,21.92686653,21.92916298,20.93838501,25.93696976,24.91435623,23.93471146,20.93449211,23.92579269,22.93517494
26,15 h 20 min,25.93200684,23.93163872,24.92310333,26.94464111,24.90790367,29.9299202,22.93861389,25.93541527,31.92273712,26.91341591,23.90852547,30.9353714,31.92578506,28.91903114,28.93575668,31.91921043,30.92931175,27.8843441,25.94089317,24.93820572,23.92147446,21.91345787,22.92692566,26.92089653,23.95074463,22.92210007,22.92990685,26.92614937,26.89935112,23.93446159,22.92873001,24.91501999,24.92310143
