gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
98,02 h 00 min,0.00000384,0.00000763,0.00000772,0.00000761,0.0000155,0.000000967,0.0000616,0.0000076,0.00000024,0.0000153,0.0000621,0.000000239,0.000000481,0.000000975,0.00000192,0.00000024,0.000000486,0.00000778,0.00000745,0.00000379,0.0000312,0.00000775,0.000121801,0.0000154,0.000121544,0.000061,0.0000609,0.00000385,0.0000155,0.000122426,0.0000612,0.0000308,0.0000306
32,02 h 05 min,0.00000778,0.00000764,0.00000388,0.00000775,0.0000156,0.000000483,0.000062,0.00000382,6.04E-08,0.0000156,0.0000312,0.000000244,0.000000966,0.00000194,0.00000193,0.000000488,0.000000121,0.0000155,0.000015,0.00000381,0.0000163,0.00000792,0.000123573,0.0000156,0.000123167,0.0000307,0.0000306,0.00000387,0.0000155,0.0000619,0.000062,0.0000306,0.0000153
21,02 h 10 min,0.0000155,0.0000154,0.00000777,0.00000767,0.0000313,0.00000194,0.000124398,0.00000768,6.05E-08,0.000031,0.000126464,0.00000012,0.000000964,0.000000481,0.00000194,5.99E-08,0.00000024,0.00000784,0.00000758,0.00000768,0.0000317,0.00000782,0.000245592,0.000031,0.000244751,0.0001245,0.0000612,0.00000386,0.0000309,0.000245656,0.000123694,0.0000616,0.0000309
99,02 h 10 min,0.00000383,0.0000153,0.00000385,0.00000763,0.0000155,0.000000957,0.0000616,0.00000761,0.00000024,0.0000153,0.000031,0.000000476,0.000000477,0.000000971,0.00000191,0.00000012,0.000000481,0.00000777,0.0000152,0.00000765,0.0000159,0.00000781,0.00012211,0.0000154,0.000121771,0.0000617,0.0000306,0.00000385,0.00000785,0.0000614,0.0000306,0.0000307,0.0000617
125,02 h 15 min,0.00000766,0.0000307,0.0000312,0.0000152,0.0000625,0.00000193,0.000121128,0.0000305,0.000000966,0.0000625,0.000122785,0.00000192,0.000000959,0.00000388,0.00000772,0.000000961,0.00000192,0.0000157,0.0000616,0.00000756,0.0000647,0.000031,0.000491784,0.0000618,0.000245988,0.000249534,0.000121891,0.00000774,0.0000155,0.000490046,0.000122398,0.0000614,0.000121557
68,02 h 15 min,0.00000774,0.0000154,0.00000774,0.0000154,0.0000315,0.00000193,0.000123536,0.00000766,0.00000012,0.0000155,0.0000626,0.00000024,0.000000486,0.00000097,0.00000192,0.00000024,0.000000488,0.00000793,0.0000153,0.00000768,0.0000326,0.0000158,0.000121984,0.0000155,0.000122643,0.0000616,0.0000616,0.00000778,0.00000793,0.000246744,0.0000617,0.0000309,0.0000621
22,02 h 20 min,0.00000777,0.0000155,0.00000777,0.0000155,0.0000315,0.000000967,0.000123774,0.0000155,0.000000121,0.0000155,0.000126261,0.000000242,0.000000968,0.000000482,0.00000389,0.000000243,0.000000487,0.00000796,0.000031,0.0000155,0.0000618,0.0000317,0.000248246,0.0000313,0.000249616,0.0000616,0.000123298,0.00000388,0.0000158,0.000124314,0.0000618,0.000062,0.0000621
100,02 h 20 min,0.00000775,0.0000155,0.00000778,0.0000154,0.0000309,0.000000966,0.000124323,0.0000154,0.000000483,0.0000313,0.000124166,0.000000956,0.000000962,0.00000196,0.00000382,0.000000483,0.000000982,0.00000794,0.0000301,0.0000154,0.0000321,0.0000312,0.000247476,0.0000309,0.00024934,0.000123743,0.000122882,0.00000777,0.0000156,0.000247685,0.0000618,0.0000308,0.000123298
126,02 h 25 min,0.00000764,0.0000154,0.0000155,0.0000153,0.0000313,0.00000387,0.000124357,0.0000153,0.00000389,0.0000312,0.000122641,0.00000191,0.00000192,0.00000392,0.00000385,0.00000192,0.00000191,0.0000157,0.0000306,0.00000759,0.0000628,0.0000309,0.000245714,0.0000308,0.000122715,0.000124177,0.000122691,0.00000774,0.0000157,0.000246456,0.0000614,0.0000611,0.000123647
33,02 h 25 min,0.00000771,0.0000153,0.00000775,0.0000153,0.0000314,0.000000964,0.000124031,0.0000153,0.000000242,0.0000311,0.00012419,0.000000242,0.00000048,0.000000964,0.00000384,0.000000121,0.00000048,0.00000792,0.0000151,0.00000762,0.0000325,0.0000315,0.000246593,0.0000154,0.000122105,0.0000616,0.0000611,0.00000383,0.0000156,0.000123288,0.0000617,0.0000308,0.0000617
